<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20000103,000000,104.8750000,112.5000000,101.6875000,112.0000000,4458100
20000104,000000,108.2500000,110.6250000,101.1875000,102.6250000,4276500
20000105,000000,103.7500000,110.5625000,103.0000000,104.0000000,6491200
20000106,000000,106.1250000,107.0000000,95.0000000,95.0313000,6464800
20000107,000000,96.5000000,101.0000000,95.5000000,99.3750000,3784500
20000110,000000,102.0000000,102.2500000,94.7500000,97.7813000,4224200
20000111,000000,95.9375000,99.3750000,92.0000000,92.7500000,3680600
20000112,000000,95.0000000,95.5000000,87.0000000,87.0000000,8477000
20000113,000000,94.4688000,98.7500000,92.5000000,96.7500000,8388100
20000114,000000,100.0000000,102.2500000,99.3750000,100.4375000,3282500
20000118,000000,101.0000000,106.0000000,100.4375000,104.0000000,3729400
20000119,000000,105.6250000,108.7500000,103.3750000,106.7500000,4883600
20000120,000000,115.5000000,121.5000000,113.5000000,113.5000000,15474000
20000121,000000,114.2500000,114.2500000,110.1875000,111.2813000,3993900
20000124,000000,108.4375000,112.7500000,105.1250000,106.2813000,3564100
20000125,000000,105.0000000,113.1250000,102.3750000,112.2500000,4094300
20000126,000000,110.0000000,114.1875000,109.7500000,110.1250000,2938500
20000127,000000,108.8125000,113.0000000,107.0000000,110.0313000,2762500
20000128,000000,108.1875000,110.8750000,100.6250000,101.6875000,3606800
20000131,000000,101.0000000,103.7500000,94.5000000,103.7500000,5807600
20000201,000000,104.0000000,105.0000000,100.0000000,100.2500000,2639500
20000202,000000,100.7500000,102.1250000,97.0000000,98.7500000,4053500
20000203,000000,100.3125000,104.2500000,100.2500000,103.3750000,4080100
20000204,000000,103.9375000,110.0000000,103.6250000,107.9375000,3567500
20000207,000000,108.0000000,114.1250000,105.9375000,114.0000000,3786600
20000208,000000,114.0000000,116.1250000,111.2500000,114.8750000,3465600
20000209,000000,114.1250000,117.1250000,112.5000000,112.6250000,2450200
20000210,000000,112.8750000,113.8750000,109.5000000,113.5625000,2605900
20000211,000000,113.6250000,114.1250000,108.2500000,108.7188000,1758000
20000214,000000,109.3125000,115.8750000,108.6250000,115.8125000,3071400
20000215,000000,115.2500000,119.9375000,115.2500000,119.0000000,4166400
20000216,000000,117.7500000,118.1250000,112.1250000,113.9375000,3196500
20000217,000000,115.1875000,115.5000000,113.1250000,114.8750000,2430000
20000218,000000,114.6250000,115.3750000,110.8750000,111.3125000,1740700
20000222,000000,110.1250000,116.9375000,106.6875000,114.0000000,3626600
20000223,000000,113.2188000,119.0000000,111.0000000,116.2500000,3615200
20000224,000000,117.3125000,119.1250000,111.7500000,115.2500000,3109200
20000225,000000,114.8125000,117.0000000,110.1250000,110.3750000,2075800
20000228,000000,110.1250000,115.0000000,108.3750000,113.1875000,2645100
20000229,000000,113.5625000,117.2500000,112.5625000,114.6250000,2976500
20000301,000000,118.5625000,132.0625000,118.5000000,130.2500000,8807500
20000302,000000,127.0000000,127.9375000,120.6875000,122.0000000,2537400
20000303,000000,124.8750000,128.2188000,120.0000000,128.0000000,2610500
20000306,000000,126.0000000,129.1250000,125.0000000,125.5000000,1656200
20000307,000000,126.4375000,127.4375000,121.1250000,122.8750000,2181300
20000308,000000,122.8750000,123.9375000,118.5625000,121.9375000,2303400
20000309,000000,120.8750000,125.0000000,118.2500000,122.2500000,2299500
20000310,000000,121.6875000,127.9375000,121.0000000,125.3125000,2094100
20000313,000000,122.1250000,126.5000000,119.5625000,121.2500000,2457000
20000314,000000,121.2188000,124.2500000,114.0000000,114.4375000,3677900
20000315,000000,115.6250000,120.2500000,114.1250000,116.0000000,3632800
20000316,000000,117.3125000,122.0000000,114.5000000,121.5625000,3179700
20000317,000000,120.1250000,125.0000000,119.6250000,124.9375000,2325200
20000320,000000,123.5000000,126.2500000,122.3750000,123.0625000,1714000
20000321,000000,122.5625000,136.7500000,121.6250000,134.9375000,4299300
20000322,000000,132.7813000,144.3750000,131.5625000,144.2500000,4716800
20000323,000000,142.0000000,150.3750000,140.0000000,141.2500000,4669800
20000324,000000,142.4375000,143.9375000,135.5000000,138.5625000,3774700
20000327,000000,137.6250000,144.7500000,136.8750000,139.5000000,2360700
20000328,000000,137.2500000,142.0000000,137.1250000,139.1563000,1672400
20000329,000000,139.3750000,139.4375000,133.8125000,135.8750000,1992600
20000330,000000,133.5625000,137.6875000,125.4375000,125.7500000,3430900
20000331,000000,127.4375000,137.2500000,126.0000000,135.8125000,3295700
20000403,000000,135.5000000,139.5000000,129.4375000,133.3750000,2706500
20000404,000000,132.6250000,133.0000000,116.7500000,127.5000000,5406100
20000405,000000,126.4688000,132.8750000,124.0000000,130.3125000,3840700
20000406,000000,130.6250000,134.5000000,123.2500000,125.2500000,2195200
20000407,000000,127.2500000,131.0000000,125.5000000,131.0000000,1995200
20000410,000000,131.6875000,132.7500000,124.7500000,125.0625000,1675100
20000411,000000,123.5000000,124.8750000,118.0625000,119.3750000,4581700
20000412,000000,119.0000000,119.0000000,104.8750000,109.2500000,7899100
20000413,000000,111.5000000,120.0000000,108.5000000,113.7500000,4288100
